Variable Type,Variable,Information,Variable Schema,Dashboard,Notes,Data Link,Reference,Internal Model Variable,Default LHS Scalar Minimum at Final Time Period,Default LHS Scalar Maximum at Final Time Period,``$CAT-SOIL-MANAGEMENT$``
Input,Forest Fire Emission Factor,Annual average :math:`\text{CO}_2` emitted per ha due to forest fires (≥ 0),"``ef_frst_forestfires_$CAT-FOREST$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = gg``)",,Forest fires are represented in the land use transition matrix as part of ``$CAT-FOREST$`` to the class ``other``. Reductions in this transition can represent reductions in forest fires. ,,,0,1,1,none
Input,Forest Methane Emissions,Methane emissions from forests,"``ef_frst_forestmethane_$CAT-FOREST$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = ch4``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = gg``)",,See `Yale <https://e360.yale.edu/features/scientists-probe-the-surprising-role-of-trees-in-methane-emissions>`_ or `Nature <https://www.nature.com/articles/d41586-019-00122-z>`_ for more information on methane emissions from forests.,,,0,1,1,none
Input,Forest Sequestration Emission Factor,Annual average :math:`\text{CO}_2` emitted per ha from sequestration (< 0 – this is a negative number),"``ef_frst_sequestration_$CAT-FOREST$_$UNIT-MASS$_$EMISSION-GAS$_$UNIT-AREA$`` (``$EMISSION-GAS$ = co2``, ``$UNIT-AREA$ = ha``, ``$UNIT-MASS$ = gg``)",,,,,0,1,1,none
Output,:math:`\text{CH}_4` Emissions from Forests,Total methane emissions from forests,``emission_co2e_$EMISSION-GAS$_frst_methane_$CAT-FOREST$`` (``$EMISSION-GAS$ = ch4``),,,,,1,1,1,none
Output,:math:`\text{CO}_2` Emissions from Forest Sequestration,Sequestration in forests modeled as negative emissions,``emission_co2e_$EMISSION-GAS$_frst_sequestration_$CAT-FOREST$`` (``$EMISSION-GAS$ = co2``),,,,,1,1,1,none
Input,Forest Fraction Temperate Nutrient Poor," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Forest Fraction Temperate Nutrient Poor, Forest Fraction Temperate Nutrient Rich, and Forest Fraction Tropical must sum to 1",``frac_frst_$CAT-FOREST$_c1_temperate_nutrient_poor``,,,,,0,1,1,``temperate_forest_nutrient_poor``
Input,Forest Fraction Temperate Nutrient Rich," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Forest Fraction Temperate Nutrient Poor, Forest Fraction Temperate Nutrient Rich, and Forest Fraction Tropical must sum to 1",``frac_frst_$CAT-FOREST$_cl1_temperate_nutrient_rich``,,,,,0,1,1,``temperate_forest_nutrient_rich``
Input,Forest Fraction Tropical," | Used to calculate :math:`\text{N}_2\text{O}` emissions from organic soils. 
 | 
 | Forest Fraction Temperate Nutrient Poor, Forest Fraction Temperate Nutrient Rich, and Forest Fraction Tropical must sum to 1",``frac_frst_$CAT-FOREST$_cl1_tropical``,,,,,0,1,1,``tropical_forest``
